time,harmonic_density,octave_spread,spectral_centroid,spatial_movement
0.00,0.1000,0.9000,3.0000,0.2500
1.00,0.1000,0.9000,3.0000,0.2500
2.00,0.1000,0.9000,3.0000,0.2500
3.00,0.1000,0.9000,3.0000,0.2083
4.00,0.1000,0.9000,3.0000,0.2083
5.00,0.1000,0.9000,3.0000,0.2222
6.00,0.1000,0.9000,3.0000,0.2222
7.00,0.1000,0.9000,3.0000,0.2083
8.00,0.1000,0.9000,3.0000,0.2083
9.00,0.1000,0.9000,3.0000,0.2222
10.00,0.1000,0.9000,3.0000,0.2222
11.00,0.1000,0.9000,3.0000,0.2083
12.00,0.1000,0.9000,3.0000,0.2083
13.00,0.1000,0.9000,3.0000,0.2222
14.00,0.1000,0.9000,3.0000,0.2222
15.00,0.1000,0.9000,3.0000,0.2222
16.00,0.1000,0.9000,3.0000,0.2500
17.00,0.1000,0.9000,3.0000,0.2500
18.00,0.1000,0.9000,3.0000,0.2500
19.00,0.1000,0.9000,3.0000,0.2500
